date,bikes_hired,Baseline,A,B,C,D,E
2014-03-17,26465,25599.74143375,25227.20590618,25269.98867078,25691.66915999,26370.06574689,28134.37009281
2014-03-18,25502,25599.74143375,27513.04058314,28317.54292008,27541.40420323,24668.93431734,27149.22030592
2014-03-19,26719,25903.09738535,27780.20600022,29154.25206594,29230.09622074,27115.67792668,28535.90854334
2014-03-20,23718,25599.74143375,27554.11056962,26927.79298932,28627.76923049,22680.27348456,26330.26807657
2014-03-21,23821,24082.96167574,24516.52794771,26064.48084943,25297.05911587,23339.54670953,25885.70273664
2014-03-22,19091,22566.18191773,20762.01548807,22580.49141155,22075.37505172,21333.45526348,22453.50701064
2014-03-23,17463,20341.57160599,16354.43551754,16728.09329892,19656.00783051,20337.26441684,20721.41087872
2014-03-24,24055,20341.57160599,19975.03751347,21264.83051797,24480.18869886,23448.16812195,26119.52989522
2014-03-25,19421,22465.06326720,24381.94019518,25240.43360025,25272.19813459,23484.33278553,24496.82002971
2014-03-26,20493,19330.38510065,21214.99550933,20251.96659025,21964.45041255,22428.35490927,24403.34020852
2014-03-27,23462,20644.92755759,22604.95189187,22178.57764793,24753.03659446,22565.49854973,25171.35531152
2014-03-28,24198,22465.06326720,22900.47613457,22294.93878720,25896.36308562,23527.17805028,25431.35998267
2014-03-29,29511,26610.92793909,24802.14502092,25787.15466204,29090.23142111,24963.10861775,26782.81331167
2014-03-30,26605,28026.58904656,24030.68162996,25216.79464087,27347.66459211,26610.71414960,25762.21840906
2014-03-31,26715,27925.47039603,27550.28038757,26886.22640757,26717.82797938,27798.71558060,29335.70649383
2014-04-01,29782,27824.35174549,29735.11182621,29266.71519691,32427.63185847,32828.69890029,35529.72436353
2014-04-02,28876,27723.23309496,29598.26429001,28525.18965510,30473.21635659,28286.09636065,29908.31019289
2014-04-03,28245,28532.18229923,30483.20448094,28731.32845324,29506.54325042,28815.52250679,32131.35864948
2014-04-04,27401,27419.87714336,27849.63481232,26014.68404042,24587.49047720,25118.47044202,32226.11081780
2014-04-05,25648,27116.52119176,25307.16121253,23975.13152097,25973.19316477,25735.16679038,28418.77279874
2014-04-06,16387,29442.25015403,25444.72696646,21939.65607817,19728.32451898,20065.23649714,24869.78955647
2014-04-07,18883,28633.30094976,28257.30305582,24813.66483415,22565.33411670,23191.82740899,24625.08340405
2014-04-08,26654,24588.55492841,26503.00819992,28388.90811361,28224.05352527,26330.59732547,29406.67985906
2014-04-09,29621,25700.86008428,27578.19952358,28546.80591414,32152.93066589,32240.34175927,34656.96628029
2014-04-10,29229,26509.80928855,28463.13971451,29782.41480046,31136.12321172,33357.80301208,36103.67118934
2014-04-11,28435,26914.28389069,27344.61862071,28735.06314165,28373.69300007,30387.33381493,33802.66536522
2014-04-12,25706,25599.74143375,23792.11263771,23900.50811923,23918.05972240,22501.38426944,27189.79382985
2014-04-13,31404,26509.80928855,22515.63305514,24294.37234298,24905.54494097,25332.01153633,30014.22580259
2014-04-14,28742,25498.62278321,25126.20266786,27873.00466739,28329.82171718,27812.10855549,32528.85877597
2014-04-15,30031,22667.30056827,24583.94667182,26514.00745617,29394.25484381,30348.74729363,34617.07058317
2014-04-16,30934,23678.48707361,25558.13475715,26993.93850890,29977.17645237,29330.87703017,33987.01382231
2014-04-17,27676,26307.57198748,28261.13323787,29639.23947273,32605.18953718,30767.74260633,31816.53297387
2014-04-18,22152,23779.60572414,24213.51823275,26344.26721394,25184.15966562,26340.04916435,32931.17887727
2014-04-19,21424,23779.60572414,21974.05434792,24166.22814601,24834.74110714,24863.28986217,29432.84079781
2014-04-20,7188,25700.86008428,21707.60714857,18433.02077518,18448.06925754,14531.31306837,17876.87851971
2014-04-21,20532,28127.70769709,27752.28686422,26262.34559116,30256.60221521,27637.55705033,29249.44478887
2014-04-22,22689,27318.75849282,29230.09563460,27061.78642528,27957.85131555,27073.17850543,33278.10193636
2014-04-23,27102,27723.23309496,29598.26429001,28505.00396710,29680.07967646,29375.30898243,33693.55328775
2014-04-24,29119,27925.47039603,29877.18505101,28180.68834205,29100.78563823,31103.47440816,34368.33821989
2014-04-25,20400,26509.80928855,26940.60566742,22998.57672526,23609.81502055,22101.66386051,26020.54970778
2014-04-26,25195,26408.69063802,24600.13854428,23040.02558187,23546.54440284,23418.80098128,25318.77388049
2014-04-27,21284,26408.69063802,22414.62981682,20982.98175456,20536.01424259,21628.84751199,27977.37350546
2014-04-28,29474,27622.11444442,27247.27067261,25288.74378775,27361.48880337,27196.41573465,31642.20849712
2014-04-29,46333,27015.40254122,28927.08591964,25989.13169355,25985.76350112,27780.19073466,35962.32331867
2014-04-30,49025,28026.58904656,29901.27400497,29194.13062676,32808.00333106,32565.78754374,37316.20166190
2014-05-01,16644,26408.69063802,28362.13647619,24835.98348375,25007.91847479,25683.61665360,29456.00270656
2014-05-02,26510,24588.55492841,25021.54413932,23263.35899619,21103.48463555,22803.76202961,31398.35222908
2014-05-03,31534,22667.30056827,20863.01872639,23247.55687152,25335.44879066,27998.91016381,33659.57644620
2014-05-04,33030,24993.02953055,21000.58448032,22423.22270893,25458.50230677,25965.93183627,29801.55290491
2014-05-05,33748,27520.99579389,27146.26743429,28214.73079241,30041.24181868,28559.57491254,33572.95690404
2014-05-06,32323,29543.36880457,31452.16687767,31826.05373478,31016.10525875,29460.45523163,36536.17554808
2014-05-07,28802,28228.82634763,30103.28048161,30709.93273872,29550.51330480,28085.54282325,35400.20273628
2014-05-08,19398,27925.47039603,29877.18505101,27413.63219792,26671.28728578,25510.71869979,26511.54441838
2014-05-09,30131,28936.65690136,29364.68338714,30207.18779487,28539.31851018,24672.72373015,32398.59667475
2014-05-10,19373,28228.82634763,26418.19683406,25640.67325159,26668.50842471,23023.08787932,26823.43881612
2014-05-11,17645,26307.57198748,22313.62657850,22334.48509495,20558.17253173,18685.25358813,25782.43895337
2014-05-12,26149,26712.04658962,26338.24152772,26067.54581725,26634.24505625,27991.11489429,33077.89604583
2014-05-13,25351,26105.33468642,28018.05677475,26566.07684302,27563.21673206,30176.35439177,35193.00488505
2014-05-14,34122,27116.52119176,28992.24486008,28983.83394409,31198.27730897,32580.15304890,38339.92578502
2014-05-15,35148,27824.35174549,29776.18181269,29370.70617841,32679.94287547,33837.82672933,39441.37903049
2014-05-16,36268,29846.72475617,30273.71253203,31184.54062168,33759.64163008,35902.01754826,41041.71147684
2014-05-17,38147,31869.09776684,30054.31341363,29953.79831888,31890.76591622,33086.81347876,37502.11234692
2014-05-18,43663,32172.45371845,28171.81440114,28141.79601516,29338.52095687,26723.07743790,33708.38022169
2014-05-19,37088,32981.40292272,32600.44230364,32827.33509702,34533.89717221,31983.74528450,37585.82756843
2014-05-20,33626,32273.57236898,34179.25431235,33425.85680696,33186.22920804,34364.67679892,37366.65697591
2014-05-21,34437,29745.60610563,31618.32905643,30643.25632444,30404.84644401,32026.66671432,33971.27527424
2014-05-22,30819,29947.84340670,31897.24981744,30157.45519536,29275.77399899,28779.60564842,33572.80701123
2014-05-23,30556,29341.13150350,29768.69634042,29787.03937019,28512.23193626,29912.84879891,37984.78458512
2014-05-24,18723,27520.99579389,25711.17416581,23393.49759226,23564.06170954,23510.45999996,29699.31254966
2014-05-25,33401,28936.65690136,24939.71077485,25305.97719552,24655.68431355,25543.28231460,33811.23578015
2014-05-26,12049,28431.06364869,28055.29657918,26285.34454671,27890.16063057,29272.02290091,30694.03897169
2014-05-27,14446,28127.70769709,30038.12154117,25837.96150386,22945.09695771,20994.91225159,25768.09554603
2014-05-28,21978,28228.82634763,30103.28048161,26067.22449791,25071.28353971,24096.74479089,29875.39371816
2014-05-29,29229,29947.84340670,31897.24981744,28845.38547513,28439.37787628,29336.03650019,39071.69662919
2014-05-30,31331,28532.18229923,28960.67043385,27660.04008304,25881.59680268,27176.97229085,35007.19716315
2014-05-31,35040,28431.06364869,26620.20331071,26449.97628343,27486.38816956,29826.81410893,37342.57089321
2014-06-01,36655,30857.91126151,26858.77230296,26353.26464482,27222.19502520,27711.31514656,34263.01336180
2014-06-02,33481,30453.43665937,30075.36134561,27676.72644792,27771.55657315,28590.21419494,36519.04043513
2014-06-03,29332,30048.96205724,31957.18306928,29206.60307356,30350.36445836,31988.13414576,36068.62314520
2014-06-04,25905,27824.35174549,29699.26752833,27960.92814685,26501.31969440,28378.29347900,33285.19967738
2014-06-05,34617,29037.77555190,30988.22067254,31965.72731304,33469.07566520,32140.08917017,39157.90860401
